cenario,timestamp,episodios,num_veiculos,recompensa_media,recompensa_total,recompensa_min,recompensa_max,recompensa_std,taxa_convergencia,melhoria_q1_q4,tempo_execucao,recompensa_correta
,20251205_182137,1000,10,659.942,659942.0,-459.0,1000.0,359.6437357107725,-2630.309988518943,717.2280000000001,1.0,100
,20251205_182140,1000,10,772.65,772650.0,-685.0,1000.0,377.5473182264708,-4236.438923395445,704.6600000000001,1.0,100
,20251205_182143,1000,10,741.728,741728.0,-374.0,1000.0,382.5628915825476,-2425.0406882120437,771.416,1.0,100
,20251205_182146,1000,10,1000.0,1000000.0,1000.0,1000.0,0.0,0.0,0.0,1.0,100
,20251205_182148,1000,10,796.805,796805.0,-60.0,1000.0,294.7953815360749,356.3102340523176,587.0799999999999,1.0,100
,20251205_182151,1000,10,815.66,815660.0,-25.0,1000.0,284.4407045413859,293.4846989141165,531.98,1.0,100
,20251205_182154,1000,10,669.578,669578.0,10.0,892.0,193.83244804727613,176.9716531013191,374.896,1.0,100
,20251205_182157,1000,10,671.944,671944.0,-558.0,1000.0,362.9576626329854,-1492.5553635935291,690.028,1.0,100
,20251205_182200,1000,10,737.25,737250.0,-350.0,1000.0,359.35182968784227,3408.156028368794,746.76,1.0,100
,20251205_182203,1000,10,728.924,728924.0,-401.0,1000.0,390.95933832561155,-4020.17370706672,803.404,1.0,100
